    PID TTY          TIME CMD
      1 ?        00:00:03 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_gp
      5 ?        00:00:00 kworker/R-sync_wq
      6 ?        00:00:00 kworker/R-slub_flushwq
      7 ?        00:00:00 kworker/R-netns
     12 ?        00:00:00 kworker/R-mm_percpu_wq
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:02 rcu_preempt
     18 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
     19 ?        00:00:00 rcu_exp_gp_kthread_worker
     20 ?        00:00:00 migration/0
     21 ?        00:00:00 idle_inject/0
     22 ?        00:00:00 cpuhp/0
     23 ?        00:00:00 cpuhp/1
     24 ?        00:00:00 idle_inject/1
     25 ?        00:00:00 migration/1
     26 ?        00:00:00 ksoftirqd/1
     29 ?        00:00:00 kdevtmpfs
     30 ?        00:00:00 kworker/R-inet_frag_wq
     32 ?        00:00:00 kauditd
     33 ?        00:00:00 khungtaskd
     34 ?        00:00:00 oom_reaper
     36 ?        00:00:00 kworker/R-writeback
     37 ?        00:00:00 kcompactd0
     38 ?        00:00:00 ksmd
     39 ?        00:00:00 khugepaged
     40 ?        00:00:00 kworker/R-kintegrityd
     41 ?        00:00:00 kworker/R-kblockd
     42 ?        00:00:00 kworker/R-blkcg_punt_bio
     44 ?        00:00:00 irq/9-acpi
     46 ?        00:00:00 kworker/R-tpm_dev_wq
     47 ?        00:00:00 kworker/R-ata_sff
     48 ?        00:00:00 kworker/R-md
     49 ?        00:00:00 kworker/R-md_bitmap
     50 ?        00:00:00 kworker/R-edac-poller
     51 ?        00:00:00 kworker/R-devfreq_wq
     52 ?        00:00:00 watchdogd
     53 ?        00:00:00 kworker/0:1H-radeon-crtc
     54 ?        00:00:00 kswapd0
     55 ?        00:00:00 ecryptfs-kthread
     56 ?        00:00:00 kworker/R-kthrotld
     57 ?        00:00:00 kworker/R-acpi_thermal_pm
     64 ?        00:00:00 kworker/R-mld
     65 ?        00:00:00 kworker/R-ipv6_addrconf
     66 ?        00:00:00 kworker/1:1H-kblockd
     73 ?        00:00:00 kworker/R-kstrp
     88 ?        00:00:00 kworker/R-charger_manager
    155 ?        00:00:00 scsi_eh_0
    156 ?        00:00:00 kworker/R-scsi_tmf_0
    157 ?        00:00:00 scsi_eh_1
    158 ?        00:00:00 kworker/R-scsi_tmf_1
    178 ?        00:00:01 kworker/1:3-mm_percpu_wq
    220 ?        00:00:00 jbd2/sda2-8
